[Tue Apr 25 21:36:13.582597 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:13.872695 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:14.580211 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:14.871603 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:15.581523 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:15.871327 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:16.584006 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:16.872689 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:17.582912 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:17.874119 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:18.585323 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:18.875525 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:19.584723 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:19.872850 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:20.583822 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:20.873430 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:21.583236 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:21.871652 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:22.588239 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:22.874307 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:23.583593 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:23.877215 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:24.584100 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:24.874122 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
